C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
1285|* phi02 Lup                        |*  |15 23 09.3506362429 -36 51 30.557900083|3.77     |4.39     |4.54     |4.60     |4.74     |B4V                  | 137 |   0
1286|* eps Ori                          |s*b|05 36 12.81335 -01 12 06.9089          |0.48     |1.51     |1.69     |1.76     |1.93     |B0Ia                 | 913 |   0
1287|* eps Nor                          |SB*|16 27 11.0416112400 -47 33 17.257138078|     ~   |4.439    |4.521    |     ~   |     ~   |B2V                  |  69 |   0
1288|* alf Cnc                          |PM*|08 58 29.2042107048 +11 51 27.649450080|     ~   |4.388    |4.249    |     ~   |4.13     |kA7VmF0/2III/IVSr    | 149 |   0
1289|* iot Car                          |V* |09 17 05.4068572 -59 16 30.835305      |2.60     |2.44     |2.26     |2.02     |1.82     |A7Ib                 | 162 |   0
1290|* bet Sct                          |SB*|18 47 10.4742156840 -04 44 52.342960488|6.15     |5.31     |4.22     |3.43     |2.86     |G4IIa                | 191 |   0
1291|* pi. Eri                          |LP?|03 46 08.5352200200 -12 06 05.718535236|8.05     |6.04     |4.42     |3.08     |2.03     |M1III                |  62 |   0
1292|* lam Pyx                          |PM*|09 23 12.2502975192 -28 50 01.900865148|6.22     |5.59     |4.68     |3.97     |3.50     |G8.5IIIbFe-1         |  61 |   0
1293|* 27 Mon                           |PM*|07 59 44.1530631384 -03 40 46.508411136|     ~   |6.137    |4.934    |     ~   |     ~   |K1III                |  91 |   0
1294|* zet And                          |El*|00 47 20.3257188471 +24 16 01.842781713|6.05     |5.18     |4.06     |3.21     |2.62     |K1III+KV             | 293 |   0
1295|* gam Mic                          |*  |21 01 17.4683639219 -32 15 27.828353047|     ~   |5.529    |4.654    |     ~   |     ~   |G8III                |  91 |   0
1296|* ups02 Cen                        |SB*|14 01 43.5069676512 -45 36 12.274581744|5.19     |4.92     |4.33     |3.82     |3.48     |F7II/III             |  60 |   0
1297|* k Per                            |PM*|03 05 32.4115072032 +56 42 20.587724352|8.401    |5.794    |4.766    |     ~   |     ~   |G9+IIIb              |  97 |   0
1298|* zet Hya                          |PM*|08 55 23.6261974442 +05 56 44.034757439|4.92     |4.10     |3.10     |2.39     |1.90     |G8.5III              | 250 |   0
1299|* iot Peg                          |SB*|22 07 00.6655101792 +25 20 42.356386464|4.190    |4.200    |3.770    |3.36     |3.11     |F5V                  | 461 |   1
1300|* lam Ara                          |PM*|17 40 23.8255785576 -49 24 56.099256516|     ~   |5.17     |4.77     |     ~   |     ~   |F4V                  | 123 |   0
1301|HD 105382                          |Be*|12 08 05.2222663992 -50 39 40.575451536|3.65     |4.32     |4.47     |4.53     |4.70     |B5V                  | 179 |   0
1302|* ksi Psc                          |SB*|01 53 33.3369902664 +03 11 15.117021888|     ~   |5.552    |4.604    |     ~   |     ~   |G8.5IIIb             | 122 |   0
1303|* f Per                            |SB*|04 14 53.3324007648 +40 29 01.105360764|     ~   |5.652    |4.691    |     ~   |     ~   |G5II+A2V             |  94 |   0
1304|* G Sco                            |*  |17 49 51.4808976914 -37 02 35.794961894|5.57     |4.38     |3.21     |     ~   |     ~   |K2III                |  84 |   0
1305|* bet Oct                          |PM*|22 46 03.5109801 -81 22 53.811985      |     ~   |4.333    |4.128    |     ~   |     ~   |A9IV/V               |  67 |   0
1306|* ksi UMa B                        |SB*|11 18 10.8360115405 +31 31 44.821690914|     ~   |5.41     |4.77     |4.4      |     ~   |G2V                  | 342 |   1
1307|* lam Col                          |El?|05 53 06.8816254656 -33 48 04.907584296|4.16     |4.72     |4.87     |4.94     |5.09     |B5V                  |  95 |   0
1308|* eta02 Hyi                        |PM*|01 54 56.1314447592 -67 38 50.291415024|     ~   |5.623    |4.685    |     ~   |     ~   |G8IIIb               | 122 |   1
1309|* J Cen                            |** |13 22 37.9331015842 -60 59 18.170162109|3.81     |4.369    |4.509    |     ~   |     ~   |B3V                  | 110 |   0
1310|* bet Pic                          |PM*|05 47 17.0876901 -51 03 59.441135      |4.13     |4.03     |3.86     |3.74     |3.58     |A6V                  |2016 |   1
1311|* 32 Eri                           |** |03 54 17.50180 -02 57 17.0435          |5.55     |5.13     |4.45     |3.86     |3.46     |G8III+A1V            |  20 |   0
1312|* lam Aur                          |PM*|05 19 08.4754499121 +40 05 56.585080940|5.46     |5.33     |4.71     |4.18     |3.86     |G1.5IV-VFe-1         | 550 |   0
1313|* tet02 Tau                        |dS*|04 28 39.7416111456 +15 52 15.148738380|3.690    |3.600    |3.410    |5.43     |     ~   |A7III                | 454 |   0
1314|* sig Ori                          |Y*O|05 38 44.7653828520 -02 36 00.283179888|2.54     |3.58     |3.79     |3.87     |4.11     |O9.5V+B0.2V(n)       | 833 |   0
1315|* iot Aqr                          |SB*|22 06 26.2273404225 -13 52 10.850020077|3.91     |4.20     |4.27     |4.32     |4.41     |B8V                  | 117 |   0
1316|* tau Oph                          |** |18 03 04.91992 -08 10 49.2586          |5.22     |5.17     |4.79     |     ~   |     ~   |F3IV                 | 101 |   0
1317|Cl Melotte 20 772                  |*  |03 27 58.9118912976 +49 01 10.301866968|     ~   |     ~   |4.989    |     ~   |     ~   |~                    |   2 |   0
1318|HD 167818                          |*  |18 18 03.1916425335 -27 02 33.516672033|     ~   |6.265    |4.627    |     ~   |     ~   |K3II                 |  56 |   0
1319|* alf Vol                          |** |09 02 26.7960439246 -66 23 45.868433822|     ~   |4.144    |3.990    |     ~   |     ~   |kA3hA5mA5V           | 113 |   1
1320|* iot Sgr                          |PM*|19 55 15.6947540258 -41 52 05.896040754|6.11     |5.21     |4.13     |     ~   |     ~   |K0II/III             |  89 |   0
1321|HD 56618                           |*  |07 16 34.9928126880 -27 52 52.244563692|8.12     |6.24     |4.64     |3.16     |1.91     |M2III                |  45 |   0
1322|* gam Lup A                        |SB*|15 35 08.438791 -41 10 00.45102        |     ~   |3.30     |3.48     |     ~   |     ~   |~                    |   7 |   0
1323|* p Pup                            |PM*|07 35 22.8916201248 -28 22 09.605230968|4.13     |4.52     |4.63     |     ~   |     ~   |B7V                  |  70 |   0
1324|* nu. Cet                          |SB*|02 35 52.4740495740 +05 35 35.664001770|     ~   |5.742    |4.871    |     ~   |     ~   |G8III                |  93 |   0
1325|* l Eri A                          |PM*|04 38 10.825021 -14 18 14.33935        |     ~   |5.03     |3.89     |     ~   |     ~   |~                    |   2 |   0
1326|* bet01 Sco                        |bC*|16 05 26.2319826 -19 48 19.630018      |1.68     |2.55     |2.62     |2.60     |2.69     |B1V                  | 573 |   0
1327|* rho Cyg                          |PM*|21 33 58.8530450102 +45 35 30.620055459|5.47     |4.91     |4.02     |3.31     |2.81     |G8IIIFe-0.5          | 207 |   0
1328|* sig Cyg                          |s*b|21 17 24.9522700076 +39 23 40.847039148|3.98     |4.37     |4.24     |4.06     |3.92     |B9Iab                | 270 |   0
1329|* 134 Tau                          |*  |05 49 32.9303335271 +12 39 04.760685507|4.68     |4.811    |4.875    |     ~   |     ~   |B9V                  | 206 |   0
1330|* ksi Cep A                        |SB*|22 03 47.4397417176 +64 37 40.696071024|     ~   |4.81     |4.45     |5.66     |     ~   |kA2.5hF2mF2(IV)      | 176 |   0
1331|* bet UMi                          |V* |14 50 42.32580 +74 09 19.8142          |5.32     |3.55     |2.08     |0.97     |0.21     |K4-III               | 338 |   1
1332|* alf CrB                          |SB*|15 34 41.2684881676 +26 42 52.866000089|2.19     |2.22     |2.24     |2.21     |2.25     |A1IV                 | 493 |   0
1333|HD 28527                           |dS*|04 30 33.6326139192 +16 11 38.449696416|     ~   |4.975    |4.764    |6.52     |     ~   |A6IV                 | 207 |   0
1334|* iot Psc                          |PM*|23 39 57.0406036160 +05 37 34.653911951|4.640    |4.620    |4.120    |3.68     |3.37     |F7V                  | 630 |   0
1335|V* GZ Vel                          |LP*|10 19 36.7527129364 -55 01 45.499187932|     ~   |6.146    |4.543    |     ~   |     ~   |K2.5II               |  59 |   0
1336|* psi Sgr                          |SB*|19 15 32.4337170803 -25 15 24.072056443|     ~   |5.41     |4.86     |     ~   |     ~   |K0/1III+A/F          |  92 |   0
1337|* del Cyg                          |PM*|19 44 58.4769226339 +45 07 50.932673095|2.75     |2.85     |2.87     |2.88     |2.90     |B9.5IV               | 300 |   0
1338|* bet Del                          |** |20 37 32.94130 +14 35 42.3195          |4.16     |4.07     |3.63     |3.23     |2.99     |F5IV                 | 283 |   0
1339|* a Vel                            |*  |08 46 01.6443407807 -46 02 29.501411244|3.86     |3.91     |3.91     |3.86     |3.73     |A0II                 |  63 |   0
1340|* ksi01 Cen                        |*  |13 03 33.3051109488 -49 31 38.148894300|     ~   |4.844    |4.826    |     ~   |     ~   |A0V                  |  46 |   0
1341|* eta Ind                          |dS*|20 44 02.3339803529 -51 55 15.493271117|     ~   |4.767    |4.495    |     ~   |     ~   |A9IV                 |  91 |   0
1342|* iot Ret                          |PM*|04 01 18.1510074770 -61 04 43.762525702|     ~   |6.370    |4.956    |     ~   |     ~   |K4III                |  31 |   0
1343|* tau02 Hya                        |*  |09 31 58.9259456664 -01 11 04.816868928|     ~   |4.644    |4.548    |     ~   |     ~   |A2V                  |  72 |   0
1344|* rho Leo                          |s*b|10 32 48.6703908997 +09 18 23.705339948|2.780    |3.720    |3.870    |3.90     |4.06     |B1Iab                | 545 |   0
1345|* f UMa                            |PM*|09 08 52.2569720765 +51 36 16.731901694|4.87     |4.75     |4.48     |4.21     |4.10     |kA3VmF5IIISr         | 161 |   0
1346|* gam Com                          |PM*|12 26 56.2725043899 +28 16 06.318485124|6.64     |5.47     |4.34     |3.53     |3.01     |K1IIIFe0.5           | 210 |   0
1347|* eps Aql                          |SB*|18 59 37.3563787320 +15 04 05.811749256|6.14     |5.10     |4.02     |3.26     |2.74     |K1-IIICN0.5          | 193 |   0
1348|* gam Leo                          |** |10 19 58.35056 +19 50 29.3468          |     ~   |3.79     |2.37     |     ~   |     ~   |K1-III+G7IIIb        |  93 |   0
1349|* phi01 Lup                        |PM*|15 21 48.3695971307 -36 15 40.943845073|     ~   |5.076    |3.546    |     ~   |     ~   |K4III                |  99 |   0
1350|HD 51799                           |V* |06 56 15.9898814062 -48 43 16.116100754|8.56     |6.64     |4.95     |3.47     |2.29     |M1III                |  40 |   0
1351|* 24 Cap                           |PM*|21 07 07.6681598477 -25 00 21.069488053|8.04     |6.11     |4.50     |3.22     |2.24     |M1-III               |  81 |   0
1352|* alf Dra                          |SB*|14 04 23.3575968507 +64 22 33.130623243|3.520    |3.640    |3.680    |     ~   |     ~   |A0III                | 286 |   0
1353|HD 143009                          |*  |15 59 30.2666174148 -41 44 39.978075554|     ~   |5.962    |4.984    |     ~   |     ~   |K0II/III             |  44 |   0
1354|* tet Gru A                        |PM*|23 06 52.7294539968 -43 31 13.281059532|     ~   |4.84     |4.40     |     ~   |     ~   |~                    |   2 |   0
1355|* 72 Cyg                           |PM*|21 34 46.5868653816 +38 32 02.640439968|6.99     |5.99     |4.91     |4.09     |3.55     |K0.5IIIFe0.5         | 187 |   0
1356|* v Eri                            |*  |03 30 37.0583178770 -05 04 30.532729396|     ~   |4.631    |4.725    |     ~   |     ~   |B9III                |  87 |   0
1357|* d Oph                            |PM*|17 27 21.2756332194 -29 52 01.325368180|     ~   |4.672    |4.269    |     ~   |     ~   |F5III-IV             | 112 |   0
1358|* ksi Cep                          |** |22 03 47.45499 +64 37 40.7128          |4.72     |4.63     |4.29     |3.97     |3.84     |Am+F7/8V             | 179 |   0
1359|* del Per                          |Be*|03 42 55.4928046977 +47 47 14.988257477|2.38     |2.89     |3.01     |2.99     |3.10     |B5III                | 326 |   0
1360|* nu. Aqr                          |PM*|21 09 35.6483238554 -11 22 18.085441011|6.13     |5.46     |4.52     |3.83     |3.37     |K0III                | 104 |   0
1361|* psi Cas                          |PM*|01 25 56.0231935514 +68 07 48.049669752|     ~   |5.780    |4.727    |     ~   |     ~   |K0III-IIIbCN0.5      | 111 |   0
1362|* 20 Tau                           |PM*|03 45 49.6081548365 +24 22 03.877565838|3.40     |3.80     |3.87     |3.85     |3.90     |B7III                | 444 |   1
1363|* zet Mon                          |*  |08 08 35.6480975954 -02 59 01.635577977|6.02     |5.30     |4.33     |3.60     |3.11     |G2Ib                 | 149 |   0
1364|* f Car                            |Be*|08 46 42.5482603396 -56 46 11.194513753|3.58     |4.31     |4.49     |4.59     |4.78     |B3V(n)               | 149 |   0
1365|* rho Oph                          |** |16 25 35.11766 -23 26 49.8150          |4.30     |4.85     |4.63     |4.27     |3.96     |B2IV+B2V             | 662 |   0
1366|* alf Oph                          |** |17 34 56.06945 +12 33 36.1346          |2.32     |2.22     |2.07     |1.93     |1.85     |A5IVnn               | 487 |   0
1367|* 10 UMa                           |SB*|09 00 38.4734170729 +41 46 58.888412654|4.440    |4.390    |3.960    |3.57     |3.35     |F3V+G5V              | 355 |   0
1368|* w Car                            |LP?|10 43 32.2894895424 -60 33 59.834775489|     ~   |6.219    |4.545    |     ~   |     ~   |K4III                |  56 |   0
1369|* eps Vol                          |SB*|08 07 55.7944779456 -68 37 01.432689816|     ~   |4.270    |4.398    |     ~   |     ~   |B5III                |  73 |   0
1370|HD 92523                           |*  |10 43 04.0407163176 +69 04 34.369772376|     ~   |6.397    |4.992    |     ~   |     ~   |K3III                |  95 |   0
1371|* A Cen                            |Be*|11 34 45.6563651706 -54 15 50.735175236|4.33     |4.533    |4.607    |     ~   |     ~   |B9V                  |  79 |   0
1372|* eps Dra                          |PM*|19 48 10.3504589976 +70 16 04.549073664|     ~   |4.83     |3.91     |     ~   |     ~   |G7IIIbFe-1           | 158 |   0
1373|* zet Eri                          |SB*|03 15 50.0256861408 -08 49 11.036581032|5.11     |5.03     |4.80     |4.59     |4.47     |kA4hA9mA9V           | 151 |   0
1374|* omi Aqr                          |Be*|22 03 18.8440617830 -02 09 19.313835540|4.22     |4.64     |4.69     |4.70     |4.74     |B5V                  | 274 |   0
1375|* gam Ara                          |Be*|17 25 23.6593111 -56 22 39.814775      |2.25     |3.21     |3.34     |     ~   |     ~   |B1Ib                 | 279 |   0
1376|* omi Leo                          |SB*|09 41 09.0321741326 +09 53 32.308426423|4.22     |4.01     |3.52     |3.11     |2.88     |F8-G0III+A7m         | 160 |   0
1377|* z Car                            |*  |11 06 32.4264772704 -62 25 26.810615136|     ~   |5.622    |4.606    |     ~   |     ~   |G7.5III              |  53 |   0
1378|* 43 Eri                           |PM*|04 24 02.2063343712 -34 01 00.658242588|7.25     |5.45     |3.96     |2.79     |1.96     |K3.5III              |  76 |   0
1379|* alf Lac                          |PM*|22 31 17.5014213452 +50 16 56.969913082|3.78     |3.78     |3.77     |3.77     |3.80     |A1V                  | 266 |   0
1380|* tet Lib                          |PM*|15 53 49.5379222294 -16 43 45.469368699|5.99     |5.17     |4.16     |3.44     |2.92     |G9IIIb               | 122 |   0
1381|* l Hya                            |** |14 28 10.4272263008 -29 29 29.896774774|4.49     |4.90     |4.97     |     ~   |     ~   |B7/8V                |  67 |   0
1382|* pi.01 Cyg                        |SB*|21 42 05.6606598980 +51 11 22.659654515|3.86     |4.55     |4.66     |     ~   |     ~   |B3III                | 111 |   0
1383|* del Hor                          |** |04 10 50.5707258980 -41 59 37.113990887|5.33     |5.26     |4.93     |4.58     |4.37     |F2IV/V               |  84 |   0
1384|* w Pup                            |*  |08 21 23.0260290792 -33 03 15.714284652|7.73     |6.26     |4.80     |3.83     |3.08     |K2+IIIa              |  73 |   0
1385|* o Tau                            |*  |05 27 38.0841633883 +21 56 13.085083102|3.98     |4.719    |4.868    |     ~   |     ~   |B2.5V                | 165 |   0
1386|* bet Ind                          |*  |20 54 48.5980921153 -58 27 14.921144930|6.13     |4.90     |3.65     |     ~   |     ~   |K1II                 |  75 |   0
1387|* zet Cas                          |bC?|00 36 58.2844874846 +53 53 48.877599163|2.58     |3.47     |3.66     |3.74     |3.95     |B2IV                 | 467 |   0
1388|* ups Cet                          |PM*|02 00 00.3084712060 -21 04 40.194010210|7.45     |5.58     |4.02     |2.76     |1.72     |M0III                | 106 |   0
1389|V* CL Dra                          |dS*|15 57 47.4406627440 +54 44 59.149579992|     ~   |5.22     |4.96     |     ~   |     ~   |F1IVab               | 118 |   0
1390|* 63 Aur                           |*  |07 11 39.3265259952 +39 19 13.981218528|     ~   |6.353    |4.886    |     ~   |     ~   |K4III                | 110 |   0
1391|* alf Ara                          |Be*|17 31 50.4915282 -49 52 34.122041      |2.09     |2.78     |2.95     |3.05     |3.29     |B2Vne                | 264 |   0
1392|* gam Scl                          |PM*|23 18 49.4375987895 -32 31 55.278901051|     ~   |5.528    |4.406    |     ~   |     ~   |K1III                |  85 |   0
1393|V* ET Vir                          |LP*|14 10 50.4870574246 -16 18 07.310535267|8.76     |6.63     |4.91     |     ~   |     ~   |M2IIIa               | 101 |   0
1394|* pi. Pav                          |PM*|18 08 34.8159785896 -63 40 06.823127591|     ~   |4.570    |4.328    |     ~   |     ~   |kA4hF0mF2III         |  73 |   0
1395|* omi02 Eri                        |PM*|04 15 16.3196189945 -07 39 10.330779018|5.69     |5.25     |4.43     |3.74     |3.29     |K0V                  | 853 |   0
1396|* del Mus                          |SB*|13 02 16.2565714373 -71 32 55.892332795|     ~   |4.79     |3.61     |     ~   |     ~   |K2III                |  69 |   0
1397|HD 102350                          |Ce*|11 46 30.8228406163 -61 10 42.238603035|     ~   |5.01     |4.10     |     ~   |     ~   |G5Ib/II              |  73 |   0
1398|* bet CMa                          |bC*|06 22 41.9853527 -17 57 21.307352      |0.77     |1.73     |1.97     |2.11     |2.35     |B1II-III             | 734 |   0
1399|* mu. Peg                          |PM*|22 50 00.1930748087 +24 36 05.692620534|5.10     |4.42     |3.48     |2.80     |2.33     |G8+III               | 302 |   0
1400|* 7 And                            |PM*|23 12 33.0035121942 +49 24 22.345927341|4.85     |4.81     |4.52     |4.23     |4.07     |F1V                  | 160 |   0
1401|* kap Ret                          |PM*|03 29 22.6774206459 -62 56 15.104181615|     ~   |5.09     |4.70     |     ~   |     ~   |F3IV/V               | 175 |   0
1402|* chi Gem                          |SB*|08 03 31.0996953168 +27 47 39.662925504|     ~   |6.075    |4.937    |     ~   |     ~   |K1-IIIb              | 114 |   0
1403|* iot Tel                          |*  |19 35 12.9863426256 -48 05 57.116564520|     ~   |5.977    |4.879    |     ~   |     ~   |K0III                |  32 |   0
1404|* eps Hyi                          |PM*|02 39 35.3616474335 -68 16 01.008064791|3.91     |4.047    |4.096    |     ~   |     ~   |B9Va                 | 128 |   0
1405|* alf Gem                          |** |07 34 35.87319 +31 53 17.8160          |1.64     |1.62     |1.58     |1.51     |1.52     |A1V+A2Vm             | 272 |   0
1406|* 15 Vul                           |a2*|20 01 06.0485823565 +27 45 12.862874097|     ~   |4.829    |4.651    |     ~   |     ~   |A4III                | 242 |   0
1407|* H Vel                            |SB*|08 56 19.2630167160 -52 43 24.506826528|     ~   |4.591    |4.723    |     ~   |     ~   |B5/6IV               |  75 |   0
1408|* bet CrB                          |a2*|15 27 49.7540595700 +29 06 20.494640434|4.08     |3.97     |3.68     |3.50     |3.45     |F2VpSrCrEuSi         | 698 |   0
1409|* gam Cae                          |PM*|05 04 24.4021398552 -35 28 58.711349568|6.94     |5.792    |4.574    |3.64     |2.99     |K2III-IIIb           |  53 |   0
1410|* eps Lep                          |PM*|05 05 27.6644072506 -22 22 15.724153311|6.41     |4.64     |3.18     |2.08     |1.27     |K4III                | 164 |   0
1411|HD 93607                           |*  |10 46 51.2189828556 -64 23 00.504549149|4.06     |4.69     |4.83     |     ~   |     ~   |B4V                  |  99 |   0
1412|* nu. Cyg                          |** |20 57 10.4187305125 +41 10 01.671428052|3.96     |3.96     |3.94     |3.89     |3.89     |A0IIIn               | 162 |   0
1413|* ups Boo                          |PM*|13 49 28.6412870007 +15 47 52.456719303|7.46     |5.59     |4.07     |2.87     |2.00     |K5.5III              | 158 |   0
1414|* bet Tri                          |SB*|02 09 32.62712 +34 59 14.2694          |3.26     |3.14     |3.00     |2.86     |2.78     |A5III                | 226 |   0
1415|* tet Lep                          |*  |06 06 09.3238729536 -14 56 06.919393776|     ~   |4.707    |4.663    |     ~   |     ~   |A0V                  |  92 |   0
1416|* bet02 Sco                        |SB*|16 05 26.5686169680 -19 48 06.845424840|4.19     |4.87     |4.89     |5.58     |     ~   |B2V                  | 227 |   0
1417|* pi. Sgr                          |** |19 09 45.8329260 -21 01 25.010335      |3.46     |3.22     |2.88     |2.54     |2.30     |F2II-III             | 139 |   0
1418|* k Sco                            |s*b|17 04 49.3516568736 -34 07 22.541680380|4.44     |5.13     |4.87     |4.59     |4.42     |B2Iab                | 155 |   0
1419|* eps Vir                          |PM*|13 02 10.5970152536 +10 57 32.935398266|4.45     |3.71     |2.79     |2.16     |1.71     |G8III-IIIb           | 565 |   0
1420|* eps01 Lyr A                      |PM*|18 44 20.3437462368 +39 40 12.465005484|     ~   |5.111    |4.991    |     ~   |     ~   |A3V                  |  65 |   0
1421|* zet Cet                          |SB*|01 51 27.6313482264 -10 20 06.111838644|5.92     |4.86     |3.72     |2.92     |2.37     |K0.5III              | 156 |   0
1422|* a Cen                            |Ro*|14 23 02.2387240143 -39 30 42.544559700|3.50     |4.24     |4.42     |4.53     |4.70     |B2V                  | 285 |   0
1423|* o Vir                            |a2*|13 34 07.9312445507 +03 39 32.288960317|4.96     |4.96     |4.94     |4.86     |4.89     |ApEuCrSr             | 352 |   0
1424|HD 64740                           |*  |07 53 03.6344819483 -49 36 46.956285817|3.48     |4.40     |4.63     |4.76     |4.97     |B2V                  | 219 |   0
1425|* omi02 Cyg                        |SB*|20 15 28.3242122880 +47 42 51.213932496|6.54     |5.50     |3.98     |2.78     |1.86     |K7Ib-II+B1V          | 342 |   0
1426|* 139 Tau                          |s*b|05 57 59.6569390499 +25 57 14.083803544|3.82     |4.76     |4.82     |4.76     |4.87     |B1Ia                 | 286 |   0
1427|* 27 Lyn                           |PM*|08 08 27.4509245177 +51 30 23.993952533|     ~   |4.819    |4.797    |     ~   |4.71     |A2V                  |  80 |   0
1428|* lam Sgr                          |PM*|18 27 58.2407185 -25 25 18.114589      |4.75     |3.85     |2.81     |2.06     |1.50     |K1IIIb               | 284 |   0
1429|* zet Vir                          |PM*|13 34 41.5913587272 -00 35 44.939098032|3.58     |3.50     |3.38     |3.31     |3.25     |A2Van                | 204 |   0
1430|* nu. Vir                          |LP*|11 45 51.5595979999 +06 31 45.748996439|7.32     |5.54     |4.04     |2.79     |1.78     |M1III                | 265 |   0
1431|* ome02 Aqr                        |PM*|23 42 43.3453038933 -14 32 41.659905000|     ~   |4.448    |4.484    |     ~   |     ~   |B9.5V                | 148 |   0
1432|* del Nor                          |*  |16 06 29.4516604824 -45 10 23.808085716|     ~   |4.951    |4.713    |     ~   |     ~   |kA3hA7mF0III:        |  81 |   0
1433|* 58 And                           |PM*|02 08 29.2611176620 +37 51 32.706475762|5.08     |4.94     |4.82     |4.68     |4.61     |A5IV-V               |  96 |   0
1434|HD 121474                          |PM*|13 57 38.8835769912 -63 41 12.113940624|     ~   |5.802    |4.701    |     ~   |     ~   |K1.5IIIb:            |  52 |   0
1435|* eta Eri                          |PM*|02 56 25.6492431840 -08 53 53.316500640|5.97     |4.99     |3.87     |3.08     |2.50     |K1+IIIb              | 200 |   0
1436|* 15 Lyn                           |** |06 57 16.6052608 +58 25 21.940435      |5.71     |5.20     |4.35     |3.70     |3.26     |G2III                | 122 |   0
1437|* nu. Hya                          |PM*|10 49 37.4882533447 -16 11 37.129417316|5.62     |4.35     |3.11     |2.17     |1.53     |K1.5IIIHdel-0.5      | 187 |   0
1438|* omi Tau                          |SB*|03 24 48.7983185016 +09 01 43.930632036|5.090    |4.490    |3.600    |2.92     |2.47     |G6III                | 232 |   0
1439|* zet Dra                          |** |17 08 47.1877295740 +65 42 52.723177105|2.63     |3.06     |3.17     |3.23     |3.35     |B8III                | 245 |   0
1440|* iot Vir                          |PM*|14 16 00.8682760805 -06 00 01.969483331|4.64     |4.60     |4.08     |     ~   |     ~   |F7III                | 366 |   0
1441|* h Car                            |*  |09 34 26.6508147 -59 13 47.107031      |3.58     |4.09     |4.09     |4.00     |4.01     |B5II                 |  83 |   0
1442|* pi.01 Boo                        |*  |14 40 43.5589117488 +16 25 05.975961096|4.18     |4.792    |4.893    |4.47     |4.49     |B9IIIpHgMnSi         | 210 |   0
1443|* 15 Mon                           |Be*|06 40 58.65963 +09 53 44.7229          |3.360    |4.45     |4.68     |     ~   |4.88     |O7V+B1.5/2V          | 816 |   0
1444|* psi01 Dra A                      |SB*|17 41 56.0623701456 +72 08 55.927617972|     ~   |4.98     |4.55     |4.3      |     ~   |F5IV-V               | 172 |   1
1445|* sig02 UMa                        |** |09 10 23.54597 +67 08 02.4642          |     ~   |5.29     |4.80     |     ~   |     ~   |F7V                  | 178 |   0
1446|* bet01 Cap                        |SB*|20 21 00.6665981712 -14 46 53.067367488|4.14     |3.87     |3.08     |2.53     |2.03     |G9II:+B8p:Si:        | 187 |   0
1447|* ups Ori                          |SB*|05 31 55.8599595648 -07 18 05.535884975|3.30     |4.36     |4.63     |4.75     |5.01     |O9.7V                | 419 |   0
1448|* gam Phe                          |SB*|01 28 21.9286848650 -43 19 05.645061018|     ~   |4.99     |3.42     |     ~   |     ~   |M0III                | 144 |   0
1449|* lam Cru                          |Be*|12 54 39.1827302030 -59 08 48.129223088|3.86     |4.451    |4.602    |     ~   |     ~   |B3Vne                | 145 |   0
1450|* 89 Vir                           |PM*|13 49 52.2828951024 -18 08 03.009309756|     ~   |6.018    |4.959    |     ~   |     ~   |K0+IIIb              | 113 |   0
1451|* zet Ari                          |PM*|03 14 54.0983200320 +21 02 40.009229304|     ~   |4.858    |4.869    |     ~   |     ~   |A1V                  |  97 |   0
1452|HD 173780                          |*  |18 46 04.4794939944 +26 39 43.664068548|7.26     |6.04     |4.84     |3.96     |3.35     |K2III                | 122 |   0
1453|* bet Tau                          |PM*|05 26 17.51312 +28 36 26.8262          |1.03     |1.52     |1.65     |1.66     |1.76     |B7III                | 374 |   2
1454|* lam Ori A                        |Em*|05 35 08.2760807112 +09 56 02.991326316|2.17     |3.48     |3.47     |     ~   |     ~   |O8III((f))           | 520 |   0
1455|* gam UMi                          |dS*|15 20 43.7035316402 +71 50 02.491637684|     ~   |3.067    |3.002    |     ~   |     ~   |A2III                | 155 |   0
1456|* sig Her                          |** |16 34 06.1824264648 +42 26 13.234150680|     ~   |4.177    |4.196    |6.02     |     ~   |B9V                  | 199 |   0
1457|* nu. Hyi                          |*  |02 50 28.4595952008 -75 04 01.013735064|     ~   |6.080    |4.742    |     ~   |     ~   |K3III                |  55 |   0
1458|* 21 LMi                           |dS*|10 07 25.7623702826 +35 14 40.905120440|4.74     |4.67     |4.49     |4.31     |4.24     |A7V(n)               | 229 |   0
1459|* gam Cet                          |** |02 43 18.03910 +03 14 08.9390          |3.63     |3.56     |3.47     |3.36     |3.32     |A2Vn+F4V             | 184 |   0
1460|* bet Mon                          |** |06 28 49.06971 -07 01 59.0101          |2.85     |3.59     |3.74     |3.75     |3.91     |B4Ve+B2Vn(e)+B3V:nne | 226 |   0
1461|* chi01 Ori                        |SB*|05 54 22.9829893 +20 16 34.222038      |5.08     |5.00     |4.40     |3.90     |3.59     |G0V                  | 877 |   0
1462|* del Cen                          |Be*|12 08 21.4976373 -50 43 20.738614      |1.51     |2.39     |2.52     |2.48     |2.62     |B2Vne                | 316 |   0
