C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
132 |* psi UMa                          |PM*|11 09 39.8082958358 +44 29 54.555917043|5.27     |4.15     |3.01     |2.18     |1.61     |K1III                | 290 |   0
133 |* alf Mic                          |*  |20 49 58.0810451616 -33 46 46.934378400|     ~   |5.879    |4.890    |     ~   |     ~   |G8III                |  44 |   0
134 |* ome For                          |*  |02 33 50.7014978880 -28 13 56.415570096|4.7      |4.90     |4.96     |     ~   |     ~   |B9.5IV               |  72 |   0
135 |* alf Cen B                        |PM*|14 39 35.06311 -60 50 15.0992          |2.89     |2.21     |1.33     |     ~   |     ~   |K1V                  |1062 |   2
136 |* 71 Tau                           |dS*|04 26 20.7708204936 +15 37 05.884087620|     ~   |4.758    |4.480    |5.96     |4.15     |F0V                  | 229 |   0
137 |HD 102365                          |PM*|11 46 31.0725331317 -40 30 01.285867174|5.65     |5.55     |4.88     |4.35     |3.97     |G2V                  | 355 |   1
138 |* gam Equ                          |a2*|21 10 20.5000721160 +10 07 53.691967776|5.03     |4.94     |4.68     |4.43     |4.32     |A9VpSrCrEu           | 559 |   0
139 |* mu.01 Sco                        |Be*|16 51 52.2283548696 -38 02 50.638070400|1.98     |2.82     |2.98     |     ~   |     ~   |B1V+B                | 301 |   0
140 |* e Boo                            |SB*|13 49 42.8247690576 +21 15 50.764729320|     ~   |6.33     |4.91     |     ~   |     ~   |K4III                |  87 |   0
141 |* bet Crt                          |SB*|11 11 39.4787167248 -22 49 33.052973988|     ~   |4.475    |4.449    |     ~   |     ~   |A1V                  | 159 |   0
142 |* 58 Per                           |SB*|04 36 41.4325009530 +41 15 53.405356208|6.31     |5.50     |4.26     |3.31     |2.61     |K0II-III+B9V         | 126 |   0
143 |* 23 Com                           |** |12 34 51.0728182212 +22 37 45.141591409|     ~   |4.773    |4.773    |     ~   |     ~   |A0mA1IV              | 126 |   0
144 |* 4 Lac                            |s*b|22 24 30.9914928480 +49 28 35.010584652|4.33     |4.67     |4.58     |4.45     |4.35     |B9Iab-Ib             | 185 |   0
145 |* omi Psc                          |PM*|01 45 23.6252151720 +09 09 27.902640312|5.90     |5.22     |4.26     |3.53     |3.04     |G8III                | 170 |   0
